text,pattern,sentiment_original,topic_original
@TLRailUK why don't the doors open at every station to save us folk having to touch the button?!,500,neutral,covid
@TLRailUK When on phone to @LNER they said as it was cancelled they've also cancelled ticket and issued refund so now no ticket. That shows on time but all trains going via Croydon before reaching Stevenage so looks like all will be delayed/cancelled,401,negative,delays
"@LiveCommute @bus131 @tlupdates @TLRailUK @brighton_line They are monopolies which go unregulated regarding genuine customer experience, hence three hour train journeys without tables, trays, heating, luggage racks even though they service two of Europes busiest airports. It's a failed industry.",500,negative,train_general
@TLRailUK what is going on with the 17:11 from BFR to PLU? We've been on the train for the best part of an hour and are still stuck outside Deptford? Delay repay? Will it ever get to PLU?,500,negative,delays
"@NetworkRailSE @SouthernRailUK #TLUpdates - Thameslink services may be subject to further delay on between London & Bedford and London & Cambridge as a knock on effect of this issue. Full details, including service updates, live departures & ticket acceptance â„¹ï¸�ðŸ‘‡ https://t.co/iYMraBkjSy",140,neutral,delays
"@ClaireTierney5 The 1611 was diverted between East Croydon and Blackfriars not calling at London Bridge, but Thameslink didn't bother to update the data so Customer Information Screens and Journey Planers didn't show the alteration.",500,negative,service
@soran1 @TLRailUK Drivers are not in charge of heating or AC on class 700 trains. It's set by the owner-maker at their depots,140,neutral,hvac
@TLRailUK I hear the managers are staying at the St pancras hotel because of concerns of their trains being cancelled or delayed making them late ðŸ˜‚ðŸ˜‚ðŸ˜‚,230,negative,delays
Hi @TLRailUK your 2008 Horsham to Peterborough service is being delayed at Finsbury Park while we await a driver. Any idea where this driver is and how long we wait please.,410,negative,delays
@geofftech stuck on heavily delayed Thameslink when your Brighton engineering voiceover booms out. Is this your full time job now?! No escape!,410,negative,delays
@chief__rocka @tlupdates @LambrettaGT205 @Coddiwomples @TLRailUK @ABCommuters @LilianGreenwood @WhichUK I travel TL Class700 twice a day. Only been trays on one trip this week. The daily soaking in pints of coffee placed on the floor takes the Class out of anything TL provides.,401,negative,vandalism
"â€œCrossCountry, Great Western Railway, Northern, South Western Railway, Southern, Thameslink and Transport for Wales were among the operators with delays and cancellations.â€� https://t.co/eRCxX7hKiV",140,neutral,delays
Dearest @TLRailUK could you possibly delay my train by such an extent that I miss my important meeting this morning? Oh you already have?! Wow...you guys are good! #useless,500,negative,delays
"@TLRailUK wow! Shocking service! Boarded at 1733 in Gatwick and only just reached Purley now! Hardly any announcements and random stations were added. For someone not from this area, it was very confusing! Please advise how I can get compensation for this delay.",500,negative,tickets/seat_reservations
@TLRailUK But no on train announcements so when I'm on a train (like now) with a coach full of lads not wearing one mask between them my confidence is rock bottom,302,negative,covid
@TLRailUK not a single announcement at Flitwick station as trains cancelled and delays get longer. Platform 1 now looking dangerously overcrowded. Well done. Thanks again,500,negative,station
We are delighted to announce our newest partnerships with @ForesightGroup and @TLRailUK You can read about it here: https://t.co/Dc9bEoXYJl Everyone can be a life saverâ�¤ï¸� #LondonHearts #Defibrillator,050,neutral,none
"@pauleldred @NorthHertsSam @TLRailUK @GNRailUK Indeed. Management would probably determine that the physical movement would be a shrug of the shoulders with one hand showing two fingers and the other thrust in a pocket. Whilst the verbal call would be 'not anytime soon mate, delay repay' ðŸ˜€",302,neutral,delays
@TLRailUK The 0847 from Denmark hill to Blackfriars. The doors were shut long enough for the train on the next platform to arrive and depart and then some,401,negative,service
@TLRailUK A bit sore but I'm ok thank you. I slipped on the metal strip on the floor between carriages. Would be nice if someone offered me their seat but no!,113,negative,service
"@glove_pet @PrincessBella_B @medboyUK Oh yes those are really bad, but hey getting a seat on a Thameslink is a result usually let's face it, well at rush hour anyway xxx",230,neutral,none
@TLRailUK That's the answer whenever I ask for the reason! It's delayed almost every day. You never come back with the result of your investigations into these daily delays. A late start invariably leads to further delay due to the congestion caused #thameslink,500,negative,delays
@TLRailUK 0930 at ECR (on late 0807 BTN to LBG. Yes there's disruption and hindered trying to get on. A positive shout out to the driver for firm and polite advice to customers who were obstructing the doors. Sometimes a threat of even more chaos works. Perfect response from him!,230,neutral,none
"@TLRailUK hello, do you compensate for missed connections due to your delayed service?",311,neutral,delays
